Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Country
2021-03-09 15:06:00+00:00,1369303461418926084,Los prejuicios cambian con la experiencia real y de primera mano: la educación física inclusiva de los niños es un primer paso para acabar con el estigma y la discriminación de las personas con discapacidad.,mbachelet,436,80,Chile
2021-03-09 13:54:00+00:00,1369285341841080324,"Negative attitudes change with real, first-hand experience: inclusive physical education for children is a first step towards ending stigma and discrimination against people with disabilities.",mbachelet,355,71,Chile
2021-03-08 14:29:01+00:00,1368931766149517312,"En el #DiaInternacionalDeLaMujer celebramos los logros de mujeres líderes en la defensa de los derechos humanos en todo el mundo.

Muestra tu apoyo a la #IgualdadDeGenero compartiendo tu foto: 

#ConEllas #StandUp4HumanRights
",mbachelet,490,71,Chile
2021-03-08 13:24:31+00:00,1368915536936132615,"This #InternationalWomensDay, we’re celebrating the achievements of women human rights leaders everywhere.

Join us and show YOUR support for gender equality by adding your photo: 

#StandUp4HumanRights #IStandWithHer

",mbachelet,453,89,Chile
2021-03-03 15:42:00+00:00,1367138193850695683,"Las desapariciones forzadas dejan muchas víctimas. No sólo para la persona desaparecida, sino también para su familia, sus seres queridos y todos aquellos que han sufrido su desaparición. Esta práctica tiene que acabar e insto a todos los Estados a que ratifiquen la Convención.",mbachelet,1008,318,Chile
2021-03-03 14:30:00+00:00,1367120076894208001,"Enforced disappearances claim many victims. This is true not only for the disappeared person, but also for their family, loved ones and all those who have suffered from their disappearance. This practice must stop and I urge all States to ratify the Convention.",mbachelet,436,136,Chile
2021-03-02 14:57:00+00:00,1366764481183944708,"En todo el mundo, los niños y los jóvenes exigen un cambio, un cambio real. Las personas y el planeta deben ser lo primero.

Para reconstruir mejor, debemos unirnos o fracasar.",mbachelet,943,223,Chile
2021-03-02 13:50:00+00:00,1366747620245458949,"Worldwide, children and young people are demanding change, real change. People and planet must come first.

To recover better, we either unite or we fail.

#StandUp4HumanRights",mbachelet,383,105,Chile
2021-02-26 18:42:00+00:00,1365371552867381248,"Todos debemos alzar la voz contra las medidas que acallan a la sociedad civil: trabajar para defender nuestros derechos, y movilizarse en apoyo de los defensores de los derechos humanos, es vital para el futuro de la humanidad.",mbachelet,1596,653,Chile
2021-02-26 17:56:00+00:00,1365359976705794051,"We must all speak out against measures that silence civil society: working to defend our rights – and standing up to support human rights defenders – is vital to humanity's future.

#StandUp4HumanRights",mbachelet,273,105,Chile
2021-02-26 16:51:00+00:00,1365343618916098052,"La pandemia del #COVID19 ha afinado y cambiado nuestra visión de lo que es valioso en cualquier economía. Ahora vemos que la asistencia sanitaria, la atención infantil y las protecciones sociales son herramientas esenciales y eficaces para evitar una crisis económica devastadora.",mbachelet,219,45,Chile
2021-02-26 15:43:00+00:00,1365326506159874050,"The #COVID19 pandemic has sharpened and shifted our view of what is valuable in any country's economy. We now see that health care, child care and social protections are essential and effective tools to avert a devastating economic crisis.",mbachelet,183,56,Chile
2021-02-26 14:31:00+00:00,1365308386884026370,"En todo el mundo, la gente está manifestando claramente su legítima demanda de tener un papel en la configuración de las políticas. Actuar en consecuencia es la única manera de construir la confianza pública Y de impulsar mejores políticas derivadas de la realidad.",mbachelet,474,107,Chile
2021-02-26 13:17:33+00:00,1365289903995711496,"All over the world, people are clearly manifesting their rightful demand to have a role in shaping policy. Acting on it is the only way to build public trust AND to drive better policies that are based on lived realities.",mbachelet,324,74,Chile
2021-02-24 17:06:00+00:00,1364622618041540612,"#COVID19 y el #CambioClimático comparten muchas víctimas. Ambos perjudican excesivamente a los que ya sufren la discriminación 🔀 Ambos agravan las desigualdades, agudizan los agravios y aumentan las tensiones sociales. Debemos #ActuarAhora para afrontar la raíz de estas crisis.",mbachelet,202,71,Chile
2021-02-24 15:56:00+00:00,1364605001717456898,"#COVID19 &amp; #ClimateChange share many victims. Both disproportionately impact people already burdened by discrimination 🔀 both deepen inequalities, sharpen grievances and heighten social tensions. We must #ActNow to address the root causes of these convergent crises.",mbachelet,170,34,Chile
2021-02-24 14:44:00+00:00,1364586882617778183,"Para recuperarnos del #COVID19, tenemos que apoyarnos en los DDHH y en soluciones positivas para el clima a fin de salvar el medio ambiente. Debemos erradicar las leyes, políticas y prácticas discriminatorias. Necesitamos una respuesta global que no deje a nadie atrás.",mbachelet,996,1995,Chile
2021-02-24 13:52:18+00:00,1364573873010864129,"To recover from #COVID19 we must build on human rights and climate-positive solutions that will heal our environment. Discriminatory laws, policies and practices must be eradicated. We need a global response that truly leaves no one behind.",mbachelet,277,81,Chile
2021-02-23 17:48:00+00:00,1364270799931256832,"Debe quedar claro que todos, sin excepción, tenemos derecho a un aire limpio para respirar, agua limpia para beber y alimentos seguros para comer. Es hora de reconocer el derecho humano a un medio ambiente sano.",mbachelet,3358,620,Chile
2021-02-23 16:40:00+00:00,1364253686940246017,"It should be clear that all of us, without exception, are entitled to clean air to breathe, clean water to drink and safe food to eat. It's time to recognise the human right to a healthy environment. #TheTimeIsNow",mbachelet,460,81,Chile
2021-02-23 15:24:00+00:00,1364234560930603008,"La pena de muerte socava la dignidad humana y niega nuestro derecho más básico, el derecho a la vida. Felicito a todos los Estados que han abolido la pena de muerte o han tomado medidas para dejar de aplicarla. Animo a otros a considerar el movimiento en esta misma dirección.",mbachelet,879,202,Chile
2021-02-23 14:39:22+00:00,1364223328261529601,"The death penalty undermines human dignity and denies our most basic right, the right to life. I congratulate all States that have either abolished or taken steps away from the death penalty. I encourage others to consider the movement in this same direction.",mbachelet,493,74,Chile
